solar_curr_mA,load_power_mW
0.0,8966.165755087342
0.0,8965.960684929354
0.0,8965.755610080905
0.0,8965.550530541674
0.0,8965.34544631134
0.0,8965.14035738958
0.0,8964.935263776071
0.0,8964.730165470495
0.0,8964.525062472525
0.0,8964.319954781842
0.0,8964.114842398125
0.0,8963.909725321048
0.0,8963.70460355029
0.0,8963.49947708553
0.0,8963.294345926446
0.0,8963.089210072714
0.0,8962.884069524012
0.0,8962.67892428002
0.0,8962.473774340413
0.0,8962.26861970487
0.0,8962.063460373067
0.0,8961.858296344682
0.0,8961.653127619395
0.0,8961.447954196878
0.0,8961.242776076811
0.0,8961.037593258874
0.0,8960.832405742742
0.0,8960.627213528092
0.0,8960.4220166146
0.0,8960.21681500195
0.0,8960.01160868981
0.0,8959.806397677861
0.0,8959.601181965782
0.0,8959.395961553246
0.0,8959.190736439932
0.0,8958.98550662552
0.0,8958.780272109681
0.0,8958.575032892097
0.0,8958.36978897244
0.0,8958.164540350392
0.0,8957.959287025627
0.0,8957.754028997822
0.0,8957.548766266655
0.0,8957.343498831799
0.0,8957.138226692934
0.0,8956.932949849735
0.0,8956.72766830188
0.0,8956.522382049045
0.0,8956.317091090905
0.0,8956.11179542714
0.0,8955.906495057423
0.0,8955.70118998143
0.0,8955.49588019884
0.0,8955.290565709327
0.0,8955.08524651257
0.0,8954.879922608241
0.0,8954.67459399602
0.0,8954.469260675582
0.0,8954.263922646604
0.0,8954.058579908758
0.0,8953.853232461726
0.0,8953.64788030518
0.0,8953.442523438796
0.0,8953.237161862251
0.0,8953.031795575222
0.0,8952.826424577383
0.0,8952.62104886841
0.0,8952.415668447979
0.0,8952.210283315768
0.0,8952.004893471447
0.0,8951.799498914697
0.0,8951.594099645194
0.0,8951.388695662608
0.0,8951.183286966621
0.0,8950.977873556903
0.0,8950.772455433134
0.0,8950.567032594987
0.0,8950.361605042137
0.0,8950.156172774261
0.0,8949.950735791033
0.0,8949.745294092128
0.0,8949.539847677224
0.0,8949.334396545995
0.0,8949.128940698112
0.0,8948.923480133259
0.0,8948.7180148511
0.0,8948.512544851317
0.0,8948.307070133587
0.0,8948.101590697579
0.0,8947.89610654297
0.0,8947.690617669436
0.0,8947.485124076653
1359.049929305911,8947.333017011517
1313.499960815534,8947.179116989746
1242.9500930011272,8947.022441831139
1147.8499800432473,8946.862026997913
1029.8499546479436,8946.69697276462
1076.0499571915718,8946.533729739938
1191.6999937966466,8946.37502635953
1284.099998883903,8946.219949333454
1353.1498552765697,8946.067581417623
1395.8000636193901,8945.916885545124
1412.399869877845,8945.766838345602
1402.4999109096825,8945.616398771637
1364.499912597239,8945.464462883981
1300.899893976748,8945.310024933056
1212.700008181855,8945.15211843789
1100.2000246662647,8944.989788671963
1055.2500316407531,8944.82568928312
1179.9500498455018,8944.666485052432
1283.4499648306519,8944.511343231063
1362.4000712297857,8944.359299455482
1415.7500118017197,8944.209348075969
1441.7499187402427,8944.060414674888
1440.2999659068885,8943.911420888177
1411.9500701781362,8943.761309930864
1355.2499876823276,8943.608968019813
1273.3999756164849,8943.45340707068
1166.9499508570882,8943.293660580275
1036.6000060457739,8943.128789526823
1160.649917437695,8942.968788072441
1273.800007766113,8942.813228121693
1368.0499978363514,8942.661367272622
1428.9500541053712,8942.511895434187
1466.2998728454113,8942.363887473295
1473.7001038156452,8942.216166832544
1455.0000196322799,8942.067708148903
